Price;Year;Mileage;City;State;Make;Model
39795;1999;93865;Indianapolis; IN;AM;General
45000;1998;79163;Dallas; TX;AM;General
46795;2000;64142;South River; NJ;AM;General
48900;2000;73204;Fredericksburg; VA;AM;General
49999;1998;118000;Newnan; GA;AM;General
54990;1997;26201;Denver; CO;AM;General
54995;2000;101581;Sacramento; CA;AM;General
56400;1999;61824;Bentonville; AR;AM;General
59980;1997;88521;Lewisville; TX;AM;General
59995;2000;113814;Tampa; FL;AM;General
61998;2001;92060;Addison; TX;AM;General
64000;2000;77274;Falmouth; MA;AM;General
65927;2000;24381;New Canaan; CT;AM;General
65999;1997;52201;Costa Mesa; CA;AM;General
67000;2001;24168;Rapid City; SD;AM;General
67995;2001;28269;Wilsonville; OR;AM;General
68988;1997;75640;Deland; FL;AM;General
69995;2000;35917;San Diego; CA;AM;General
2981;1999;224765;Oklahoma City; OK;Acura;CLAutomatic
3990;1997;165613;Pleasanton; CA;Acura;CLAutomatic
